stage,model,task,method,placement,rank,bias,n,mean,reused
common,qwen25_7b_base,cluener,none,none,0,False,5,69.1885333384414,5
common,qwen25_7b_base,cluener,affine,e,16,True,5,69.59351143930473,3
common,qwen25_7b_base,cluener,affine,e,8,True,3,69.52163709912942,3
common,qwen25_7b_base,cluener,affine,u,16,False,5,70.41373351548616,3
common,qwen25_7b_base,cluener,affine,u,8,False,3,70.07139235734081,3
common,qwen25_7b_base,cluener,affine,eu,16,True,5,70.46588022828941,5
common,qwen25_7b_base,cluener,affine,eu,8,True,3,70.20319877780196,3
common,qwen25_7b_base,wikisql,none,none,0,False,5,81.484375,5
common,qwen25_7b_base,wikisql,affine,e,16,True,5,82.1484375,3
common,qwen25_7b_base,wikisql,affine,e,8,True,3,82.16145833333333,3
common,qwen25_7b_base,wikisql,affine,u,16,False,5,81.9921875,3
common,qwen25_7b_base,wikisql,affine,u,8,False,3,81.80338541666667,3
common,qwen25_7b_base,wikisql,affine,eu,16,True,5,82.12890625,5
common,qwen25_7b_base,wikisql,affine,eu,8,True,3,82.12890625,3
common,qwen3_8b_base,cluener,none,none,0,False,5,70.62503768000354,3
common,qwen3_8b_base,cluener,affine,e,16,True,5,70.95573517123512,3
common,qwen3_8b_base,cluener,affine,e,8,True,3,70.61927815424862,3
common,qwen3_8b_base,cluener,affine,u,16,False,5,71.95427429101579,3
common,qwen3_8b_base,cluener,affine,u,8,False,3,71.34165951007581,3
common,qwen3_8b_base,cluener,affine,eu,16,True,5,72.15842712190053,3
common,qwen3_8b_base,cluener,affine,eu,8,True,3,71.58524980769003,3
common,qwen3_8b_base,wikisql,none,none,0,False,5,83.14453125,3
common,qwen3_8b_base,wikisql,affine,e,16,True,5,83.359375,3
common,qwen3_8b_base,wikisql,affine,e,8,True,3,83.04036458333333,3
common,qwen3_8b_base,wikisql,affine,u,16,False,5,83.96484375,3
common,qwen3_8b_base,wikisql,affine,u,8,False,3,83.36588541666667,3
common,qwen3_8b_base,wikisql,affine,eu,16,True,5,84.1015625,3
common,qwen3_8b_base,wikisql,affine,eu,8,True,3,83.65885416666667,3
common,llama31_8b_base,cluener,none,none,0,False,5,70.71128139698413,3
common,llama31_8b_base,cluener,affine,eu,16,True,5,71.80689747824691,3
common,llama31_8b_base,wikisql,none,none,0,False,5,80.859375,3
common,llama31_8b_base,wikisql,affine,eu,16,True,5,80.99609375,3
common,qwen25_15b_base,cluener,none,none,0,False,5,59.17261475217774,5
common,qwen25_15b_base,cluener,affine,shared,16,True,5,61.86051776512388,3
common,qwen25_15b_base,cluener,affine,shared,8,True,5,61.43313362673757,3
common,qwen25_15b_base,cluener,affine,shared,32,True,5,62.59827051911738,3
common,qwen25_15b_base,wikisql,none,none,0,False,5,70.25390625,5
common,qwen25_15b_base,wikisql,affine,shared,16,True,5,72.28515625,3
common,qwen25_15b_base,wikisql,affine,shared,8,True,5,72.40234375,3
common,qwen25_15b_base,wikisql,affine,shared,32,True,5,72.48046875,3
common,qwen3_06b_base,cluener,none,none,0,False,5,60.8166241985942,5
