stage,task,arm,seed,lr,primary,lf_correct_pct,query_valid_pct,macro_f1_all50,coarse_accuracy,run
search,wikisql,hidden,7400,0.0002,85.44921875,79.6875,100.0,,,search_wikisql_hidden_c0_s7400
search,wikisql,hidden_budget,7400,0.0002,84.47265625,79.1015625,99.8046875,,,search_wikisql_hidden_budget_c0_s7400
search,wikisql,hidden_both,7400,0.0002,85.05859375,79.98046875,99.90234375,,,search_wikisql_hidden_both_c0_s7400
search,trec50,hidden,7400,0.0002,83.59375,,,79.33866982690515,92.578125,search_trec50_hidden_c0_s7400
search,trec50,hidden_budget,7400,0.0002,82.8125,,,78.38134022839908,93.359375,search_trec50_hidden_budget_c0_s7400
search,trec50,hidden_both,7400,0.0002,87.890625,,,82.86643683114272,94.140625,search_trec50_hidden_both_c0_s7400
search,wikisql,hidden,7400,0.0001,84.08203125,78.515625,100.0,,,search_wikisql_hidden_c1_s7400
search,wikisql,hidden_budget,7400,0.0001,82.6171875,77.1484375,100.0,,,search_wikisql_hidden_budget_c1_s7400
search,wikisql,hidden_both,7400,0.0001,82.03125,76.953125,99.8046875,,,search_wikisql_hidden_both_c1_s7400
search,trec50,hidden,7400,0.0001,82.421875,,,78.30231174054705,92.578125,search_trec50_hidden_c1_s7400
search,trec50,hidden_budget,7400,0.0001,82.421875,,,78.36895686013334,93.75,search_trec50_hidden_budget_c1_s7400
search,trec50,hidden_both,7400,0.0001,83.203125,,,79.1464411405588,92.96875,search_trec50_hidden_both_c1_s7400
search,wikisql,hidden,7400,0.0004,84.1796875,79.19921875,99.31640625,,,search_wikisql_hidden_c2_s7400
search,wikisql,hidden_budget,7400,0.0004,85.05859375,80.2734375,99.70703125,,,search_wikisql_hidden_budget_c2_s7400
search,wikisql,hidden_both,7400,0.0004,84.9609375,80.17578125,99.4140625,,,search_wikisql_hidden_both_c2_s7400
search,trec50,hidden,7400,0.0004,86.328125,,,82.42951558245677,94.140625,search_trec50_hidden_c2_s7400
search,trec50,hidden_budget,7400,0.0004,88.671875,,,83.39317284023167,96.875,search_trec50_hidden_budget_c2_s7400
search,trec50,hidden_both,7400,0.0004,87.890625,,,83.06637316931436,94.53125,search_trec50_hidden_both_c2_s7400
search,wikisql,hidden,7400,5e-05,81.25,75.68359375,100.0,,,search_wikisql_hidden_c3_s7400
search,wikisql,hidden_budget,7400,5e-05,81.25,75.68359375,100.0,,,search_wikisql_hidden_budget_c3_s7400
search,wikisql,hidden_both,7400,5e-05,82.32421875,76.85546875,100.0,,,search_wikisql_hidden_both_c3_s7400
search,trec50,hidden,7400,5e-05,79.296875,,,75.39124633536399,90.625,search_trec50_hidden_c3_s7400
search,trec50,hidden_budget,7400,5e-05,80.078125,,,76.659569240529,90.625,search_trec50_hidden_budget_c3_s7400
search,trec50,hidden_both,7400,5e-05,81.25,,,77.69489660666133,92.1875,search_trec50_hidden_both_c3_s7400
search,wikisql,hidden,7400,0.0003,85.15625,79.39453125,99.8046875,,,search_wikisql_hidden_c4_s7400
search,wikisql,hidden_budget,7400,0.0003,84.1796875,78.515625,99.8046875,,,search_wikisql_hidden_budget_c4_s7400
search,wikisql,hidden_both,7400,0.0003,84.66796875,79.296875,99.90234375,,,search_wikisql_hidden_both_c4_s7400
search,trec50,hidden,7400,0.0003,86.71875,,,82.34399494554295,93.75,search_trec50_hidden_c4_s7400
search,trec50,hidden_budget,7400,0.0003,85.15625,,,78.8628420599009,93.359375,search_trec50_hidden_budget_c4_s7400
search,trec50,hidden_both,7400,0.0003,84.765625,,,78.96266445972329,93.75,search_trec50_hidden_both_c4_s7400
search,wikisql,hidden,7400,0.0008,84.27734375,78.515625,98.4375,,,search_wikisql_hidden_c5_s7400
search,wikisql,hidden_budget,7400,0.0008,83.69140625,79.00390625,99.0234375,,,search_wikisql_hidden_budget_c5_s7400
search,wikisql,hidden_both,7400,0.0008,83.0078125,77.5390625,98.14453125,,,search_wikisql_hidden_both_c5_s7400
search,trec50,hidden,7400,0.0008,85.9375,,,79.52450523332878,94.921875,search_trec50_hidden_c5_s7400
search,trec50,hidden_budget,7400,0.0008,84.765625,,,79.67369536208547,95.3125,search_trec50_hidden_budget_c5_s7400
search,trec50,hidden_both,7400,0.0008,2.734375,,,0.1064638783269962,20.3125,search_trec50_hidden_both_c5_s7400
search,wikisql,hidden,7401,0.0002,84.1796875,79.58984375,99.90234375,,,search_wikisql_hidden_c0_s7401
search,wikisql,hidden_budget,7401,0.0002,83.88671875,79.4921875,99.8046875,,,search_wikisql_hidden_budget_c0_s7401
search,wikisql,hidden_both,7401,0.0002,84.27734375,78.3203125,99.90234375,,,search_wikisql_hidden_both_c0_s7401
search,trec50,hidden,7401,0.0002,84.375,,,80.1186561804209,93.359375,search_trec50_hidden_c0_s7401
search,trec50,hidden_budget,7401,0.0002,83.59375,,,79.49694227341288,93.75,search_trec50_hidden_budget_c0_s7401
search,trec50,hidden_both,7401,0.0002,83.984375,,,79.21504671798792,93.75,search_trec50_hidden_both_c0_s7401
search,wikisql,hidden,7401,0.0001,83.3984375,78.02734375,100.0,,,search_wikisql_hidden_c1_s7401
search,wikisql,hidden_budget,7401,0.0001,83.49609375,78.61328125,100.0,,,search_wikisql_hidden_budget_c1_s7401
search,wikisql,hidden_both,7401,0.0001,83.7890625,78.61328125,99.90234375,,,search_wikisql_hidden_both_c1_s7401
search,trec50,hidden,7401,0.0001,82.03125,,,77.92929847929848,93.359375,search_trec50_hidden_c1_s7401
search,trec50,hidden_budget,7401,0.0001,80.859375,,,76.87755771919859,92.578125,search_trec50_hidden_budget_c1_s7401
search,trec50,hidden_both,7401,0.0001,83.984375,,,80.25613732672558,93.359375,search_trec50_hidden_both_c1_s7401
search,wikisql,hidden,7401,0.0004,83.88671875,79.19921875,99.90234375,,,search_wikisql_hidden_c2_s7401
search,wikisql,hidden_budget,7401,0.0004,83.3984375,78.90625,99.90234375,,,search_wikisql_hidden_budget_c2_s7401
search,wikisql,hidden_both,7401,0.0004,83.3984375,79.98046875,98.6328125,,,search_wikisql_hidden_both_c2_s7401
search,trec50,hidden,7401,0.0004,87.890625,,,83.43616644793117,94.921875,search_trec50_hidden_c2_s7401
search,trec50,hidden_budget,7401,0.0004,85.546875,,,80.92205699357403,94.140625,search_trec50_hidden_budget_c2_s7401
search,trec50,hidden_both,7401,0.0004,87.109375,,,81.69308050051085,95.703125,search_trec50_hidden_both_c2_s7401
search,wikisql,hidden,7401,5e-05,81.8359375,76.3671875,99.90234375,,,search_wikisql_hidden_c3_s7401
search,wikisql,hidden_budget,7401,5e-05,81.8359375,75.9765625,100.0,,,search_wikisql_hidden_budget_c3_s7401
search,wikisql,hidden_both,7401,5e-05,81.640625,76.26953125,99.90234375,,,search_wikisql_hidden_both_c3_s7401
search,trec50,hidden,7401,5e-05,77.734375,,,75.0433638085341,91.796875,search_trec50_hidden_c3_s7401
search,trec50,hidden_budget,7401,5e-05,77.34375,,,74.82760741150834,91.015625,search_trec50_hidden_budget_c3_s7401
search,trec50,hidden_both,7401,5e-05,76.953125,,,74.59390119684237,89.84375,search_trec50_hidden_both_c3_s7401
search,wikisql,hidden,7401,0.0003,83.59375,77.83203125,99.609375,,,search_wikisql_hidden_c4_s7401
search,wikisql,hidden_budget,7401,0.0003,83.984375,79.8828125,99.31640625,,,search_wikisql_hidden_budget_c4_s7401
search,wikisql,hidden_both,7401,0.0003,83.59375,79.58984375,99.51171875,,,search_wikisql_hidden_both_c4_s7401
search,trec50,hidden,7401,0.0003,84.765625,,,80.80745235157,93.75,search_trec50_hidden_c4_s7401
search,trec50,hidden_budget,7401,0.0003,85.9375,,,80.8482607004279,94.140625,search_trec50_hidden_budget_c4_s7401
search,trec50,hidden_both,7401,0.0003,87.5,,,83.06180943239768,95.3125,search_trec50_hidden_both_c4_s7401
search,wikisql,hidden,7401,0.0008,84.86328125,79.8828125,99.90234375,,,search_wikisql_hidden_c5_s7401
search,wikisql,hidden_budget,7401,0.0008,84.27734375,79.6875,99.4140625,,,search_wikisql_hidden_budget_c5_s7401
search,wikisql,hidden_both,7401,0.0008,83.203125,78.7109375,99.70703125,,,search_wikisql_hidden_both_c5_s7401
search,trec50,hidden,7401,0.0008,85.9375,,,79.27836509895333,93.75,search_trec50_hidden_c5_s7401
search,trec50,hidden_budget,7401,0.0008,84.375,,,79.12338548963938,93.75,search_trec50_hidden_budget_c5_s7401
search,trec50,hidden_both,7401,0.0008,83.59375,,,75.11991082532879,93.75,search_trec50_hidden_both_c5_s7401
confirmation,wikisql,hidden,7500,0.0002,82.275390625,78.22265625,99.951171875,,,confirmation_wikisql_hidden_c0_s7500
confirmation,wikisql,hidden,7501,0.0002,83.935546875,79.638671875,99.609375,,,confirmation_wikisql_hidden_c0_s7501
confirmation,wikisql,hidden,7502,0.0002,83.642578125,79.345703125,99.951171875,,,confirmation_wikisql_hidden_c0_s7502
confirmation,wikisql,hidden,7503,0.0002,83.837890625,78.515625,99.853515625,,,confirmation_wikisql_hidden_c0_s7503
confirmation,wikisql,hidden,7504,0.0002,83.056640625,78.7109375,99.31640625,,,confirmation_wikisql_hidden_c0_s7504
confirmation,wikisql,hidden_budget,7500,0.0004,83.935546875,79.443359375,99.755859375,,,confirmation_wikisql_hidden_budget_c2_s7500
confirmation,wikisql,hidden_budget,7501,0.0004,84.130859375,81.0546875,99.8046875,,,confirmation_wikisql_hidden_budget_c2_s7501
confirmation,wikisql,hidden_budget,7502,0.0004,84.033203125,80.224609375,99.658203125,,,confirmation_wikisql_hidden_budget_c2_s7502
confirmation,wikisql,hidden_budget,7503,0.0004,83.10546875,77.34375,98.92578125,,,confirmation_wikisql_hidden_budget_c2_s7503
confirmation,wikisql,hidden_budget,7504,0.0004,85.15625,81.103515625,99.51171875,,,confirmation_wikisql_hidden_budget_c2_s7504
confirmation,wikisql,hidden_both,7500,0.0002,81.787109375,76.7578125,99.853515625,,,confirmation_wikisql_hidden_both_c0_s7500
confirmation,wikisql,hidden_both,7501,0.0002,84.27734375,80.712890625,99.51171875,,,confirmation_wikisql_hidden_both_c0_s7501
confirmation,wikisql,hidden_both,7502,0.0002,83.7890625,79.19921875,99.853515625,,,confirmation_wikisql_hidden_both_c0_s7502
confirmation,wikisql,hidden_both,7503,0.0002,84.765625,79.248046875,99.951171875,,,confirmation_wikisql_hidden_both_c0_s7503
confirmation,wikisql,hidden_both,7504,0.0002,84.423828125,79.052734375,99.853515625,,,confirmation_wikisql_hidden_both_c0_s7504
