stage,role,arm,candidate,seed,hidden_lr,boundary_lr_ratio,primary,lf_correct_pct,query_valid_pct,run
search,,hidden,c0,7200,0.0002,1.0,81.15234375,76.07421875,98.73046875,search_hidden_c0_s7200
search,,hidden,c0,7201,0.0002,1.0,82.51953125,78.125,99.21875,search_hidden_c0_s7201
search,,hidden,c1,7200,0.0001,1.0,80.6640625,75.09765625,99.70703125,search_hidden_c1_s7200
search,,hidden,c1,7201,0.0001,1.0,80.859375,76.3671875,99.12109375,search_hidden_c1_s7201
search,,hidden,c2,7200,0.0004,1.0,82.12890625,77.24609375,99.21875,search_hidden_c2_s7200
search,,hidden,c2,7201,0.0004,1.0,83.203125,79.1015625,99.4140625,search_hidden_c2_s7201
search,,hidden,c3,7200,5e-05,1.0,79.1015625,73.2421875,99.90234375,search_hidden_c3_s7200
search,,hidden,c3,7201,5e-05,1.0,77.34375,71.38671875,99.8046875,search_hidden_c3_s7201
search,,hidden,c4,7200,0.0003,1.0,81.4453125,75.78125,99.0234375,search_hidden_c4_s7200
search,,hidden,c4,7201,0.0003,1.0,83.3984375,78.80859375,99.21875,search_hidden_c4_s7201
search,,hidden,c5,7200,0.0008,1.0,82.03125,77.1484375,98.4375,search_hidden_c5_s7200
search,,hidden,c5,7201,0.0008,1.0,83.10546875,78.22265625,99.51171875,search_hidden_c5_s7201
search,,hidden_budget,c0,7200,0.0002,1.0,80.859375,75.9765625,98.828125,search_hidden_budget_c0_s7200
search,,hidden_budget,c0,7201,0.0002,1.0,81.93359375,77.63671875,99.12109375,search_hidden_budget_c0_s7201
search,,hidden_budget,c1,7200,0.0001,1.0,80.46875,75.1953125,99.609375,search_hidden_budget_c1_s7200
search,,hidden_budget,c1,7201,0.0001,1.0,81.0546875,76.46484375,99.21875,search_hidden_budget_c1_s7201
search,,hidden_budget,c2,7200,0.0004,1.0,81.4453125,76.5625,98.92578125,search_hidden_budget_c2_s7200
search,,hidden_budget,c2,7201,0.0004,1.0,84.08203125,80.17578125,99.4140625,search_hidden_budget_c2_s7201
search,,hidden_budget,c3,7200,5e-05,1.0,78.61328125,72.75390625,99.90234375,search_hidden_budget_c3_s7200
search,,hidden_budget,c3,7201,5e-05,1.0,77.734375,71.6796875,99.8046875,search_hidden_budget_c3_s7201
search,,hidden_budget,c4,7200,0.0003,1.0,81.93359375,76.26953125,99.21875,search_hidden_budget_c4_s7200
search,,hidden_budget,c4,7201,0.0003,1.0,83.49609375,78.80859375,99.12109375,search_hidden_budget_c4_s7201
search,,hidden_budget,c5,7200,0.0008,1.0,82.71484375,79.1015625,98.4375,search_hidden_budget_c5_s7200
search,,hidden_budget,c5,7201,0.0008,1.0,82.51953125,78.90625,99.609375,search_hidden_budget_c5_s7201
search,,hidden_both,c0,7200,0.0002,1.0,81.93359375,77.1484375,98.53515625,search_hidden_both_c0_s7200
search,,hidden_both,c0,7201,0.0002,1.0,82.6171875,78.515625,98.92578125,search_hidden_both_c0_s7201
search,,hidden_both,c1,7200,0.0002,0.25,82.2265625,77.05078125,98.53515625,search_hidden_both_c1_s7200
search,,hidden_both,c1,7201,0.0002,0.25,82.91015625,78.515625,99.21875,search_hidden_both_c1_s7201
search,,hidden_both,c2,7200,0.0001,1.0,80.95703125,75.48828125,99.21875,search_hidden_both_c2_s7200
