phase,task,model,arm,seed,metric,value
core,cluener,qwen25_05b_base,base,,primary,0.6718346253229974
core,cluener,qwen25_05b_base,base,,span_precision_pct,0.4567814476458187
core,cluener,qwen25_05b_base,base,,span_recall_pct,1.26953125
core,cluener,qwen25_05b_base,base,,text_micro_f1,7.217915590008613
core,cluener,qwen25_05b_base,base,,content_correct,0.0
core,cluener,qwen25_05b_base,base,,schema_valid,2.4571854058078926
core,cluener,qwen25_05b_base,base,,strict_json,24.125093075204767
core,cluener,qwen25_05b_base,base,,native_eos_pct,41.548771407297096
core,cluener,qwen25_05b_base,base,,capped_pct,58.451228592702904
core,cluener,qwen25_05b_base,base,,mean_generated_tokens,395.0856291883842
core,cluener,qwen25_05b_base,hidden,6100,primary,55.96837944664031
core,cluener,qwen25_05b_base,hidden,6100,span_precision_pct,54.41131263449124
core,cluener,qwen25_05b_base,hidden,6100,span_recall_pct,57.6171875
core,cluener,qwen25_05b_base,hidden,6100,text_micro_f1,56.85375494071146
core,cluener,qwen25_05b_base,hidden,6100,content_correct,26.43335815338794
core,cluener,qwen25_05b_base,hidden,6100,schema_valid,94.71332836932241
core,cluener,qwen25_05b_base,hidden,6100,strict_json,97.54281459419211
core,cluener,qwen25_05b_base,hidden,6100,native_eos_pct,97.61727475800447
core,cluener,qwen25_05b_base,hidden,6100,capped_pct,2.3827252419955323
core,cluener,qwen25_05b_base,hidden,6100,mean_generated_tokens,51.373045420699924
core,cluener,qwen25_05b_base,hidden,6101,primary,56.405384006334124
core,cluener,qwen25_05b_base,hidden,6101,span_precision_pct,54.918285538082024
core,cluener,qwen25_05b_base,hidden,6101,span_recall_pct,57.975260416666664
core,cluener,qwen25_05b_base,hidden,6101,text_micro_f1,57.16547901821061
core,cluener,qwen25_05b_base,hidden,6101,content_correct,26.507818317200297
core,cluener,qwen25_05b_base,hidden,6101,schema_valid,95.45793000744601
core,cluener,qwen25_05b_base,hidden,6101,strict_json,98.21295606850335
core,cluener,qwen25_05b_base,hidden,6101,native_eos_pct,98.2874162323157
core,cluener,qwen25_05b_base,hidden,6101,capped_pct,1.712583767684289
core,cluener,qwen25_05b_base,hidden,6101,mean_generated_tokens,47.68205510052122
core,cluener,qwen25_05b_base,hidden,6102,primary,57.4203821656051
core,cluener,qwen25_05b_base,hidden,6102,span_precision_pct,56.20324189526185
core,cluener,qwen25_05b_base,hidden,6102,span_recall_pct,58.69140625
core,cluener,qwen25_05b_base,hidden,6102,text_micro_f1,58.18471337579618
core,cluener,qwen25_05b_base,hidden,6102,content_correct,26.805658972449738
core,cluener,qwen25_05b_base,hidden,6102,schema_valid,95.38346984363366
core,cluener,qwen25_05b_base,hidden,6102,strict_json,99.18093819806404
core,cluener,qwen25_05b_base,hidden,6102,native_eos_pct,99.18093819806404
core,cluener,qwen25_05b_base,hidden,6102,capped_pct,0.8190618019359642
core,cluener,qwen25_05b_base,hidden,6102,mean_generated_tokens,42.8391660461653
core,cluener,qwen25_05b_base,hidden_budget,6100,primary,56.145339652448655
core,cluener,qwen25_05b_base,hidden_budget,6100,span_precision_pct,54.5426642111725
core,cluener,qwen25_05b_base,hidden_budget,6100,span_recall_pct,57.845052083333336
core,cluener,qwen25_05b_base,hidden_budget,6100,text_micro_f1,56.998420221169035
core,cluener,qwen25_05b_base,hidden_budget,6100,content_correct,26.65673864482502
core,cluener,qwen25_05b_base,hidden_budget,6100,schema_valid,94.63886820551005
core,cluener,qwen25_05b_base,hidden_budget,6100,strict_json,97.54281459419211
core,cluener,qwen25_05b_base,hidden_budget,6100,native_eos_pct,97.61727475800447
core,cluener,qwen25_05b_base,hidden_budget,6100,capped_pct,2.3827252419955323
core,cluener,qwen25_05b_base,hidden_budget,6100,mean_generated_tokens,51.43261355174982
core,cluener,qwen25_05b_base,hidden_budget,6101,primary,56.44346178142767
core,cluener,qwen25_05b_base,hidden_budget,6101,span_precision_pct,54.8159509202454
core,cluener,qwen25_05b_base,hidden_budget,6101,span_recall_pct,58.170572916666664
core,cluener,qwen25_05b_base,hidden_budget,6101,text_micro_f1,57.23310170562224
core,cluener,qwen25_05b_base,hidden_budget,6101,content_correct,26.43335815338794
core,cluener,qwen25_05b_base,hidden_budget,6101,schema_valid,95.60685033507073
core,cluener,qwen25_05b_base,hidden_budget,6101,strict_json,98.43633655994043
core,cluener,qwen25_05b_base,hidden_budget,6101,native_eos_pct,98.51079672375279
core,cluener,qwen25_05b_base,hidden_budget,6101,capped_pct,1.4892032762472078
core,cluener,qwen25_05b_base,hidden_budget,6101,mean_generated_tokens,46.75949367088607
core,cluener,qwen25_05b_base,hidden_budget,6102,primary,56.943342326614825
core,cluener,qwen25_05b_base,hidden_budget,6102,span_precision_pct,55.55899659337256
core,cluener,qwen25_05b_base,hidden_budget,6102,span_recall_pct,58.3984375
core,cluener,qwen25_05b_base,hidden_budget,6102,text_micro_f1,57.705126170449134
core,cluener,qwen25_05b_base,hidden_budget,6102,content_correct,25.837676842889053
core,cluener,qwen25_05b_base,hidden_budget,6102,schema_valid,94.9367088607595
core,cluener,qwen25_05b_base,hidden_budget,6102,strict_json,98.95755770662696
core,cluener,qwen25_05b_base,hidden_budget,6102,native_eos_pct,98.95755770662696
core,cluener,qwen25_05b_base,hidden_budget,6102,capped_pct,1.0424422933730455
core,cluener,qwen25_05b_base,hidden_budget,6102,mean_generated_tokens,44.21518987341772
core,cluener,qwen25_05b_base,hidden_input,6100,primary,57.340186315451334
core,cluener,qwen25_05b_base,hidden_input,6100,span_precision_pct,56.59480025364616
core,cluener,qwen25_05b_base,hidden_input,6100,span_recall_pct,58.10546875
core,cluener,qwen25_05b_base,hidden_input,6100,text_micro_f1,58.23964021843881
core,cluener,qwen25_05b_base,hidden_input,6100,content_correct,27.922561429635145
core,cluener,qwen25_05b_base,hidden_input,6100,schema_valid,95.6813104988831
core,cluener,qwen25_05b_base,hidden_input,6100,strict_json,98.58525688756515
core,cluener,qwen25_05b_base,hidden_input,6100,native_eos_pct,98.58525688756515
core,cluener,qwen25_05b_base,hidden_input,6100,capped_pct,1.4147431124348473
core,cluener,qwen25_05b_base,hidden_input,6100,mean_generated_tokens,45.51600893521966
core,cluener,qwen25_05b_base,hidden_input,6101,primary,57.56082048020353
core,cluener,qwen25_05b_base,hidden_input,6101,span_precision_pct,56.26359962698166
core,cluener,qwen25_05b_base,hidden_input,6101,span_recall_pct,58.919270833333336
core,cluener,qwen25_05b_base,hidden_input,6101,text_micro_f1,58.26045476228335
core,cluener,qwen25_05b_base,hidden_input,6101,content_correct,27.773641102010423
core,cluener,qwen25_05b_base,hidden_input,6101,schema_valid,95.53239017125837
core,cluener,qwen25_05b_base,hidden_input,6101,strict_json,98.95755770662696
core,cluener,qwen25_05b_base,hidden_input,6101,native_eos_pct,98.95755770662696
core,cluener,qwen25_05b_base,hidden_input,6101,capped_pct,1.0424422933730455
core,cluener,qwen25_05b_base,hidden_input,6101,mean_generated_tokens,44.09605361131794
core,cluener,qwen25_05b_base,hidden_input,6102,primary,58.40229153405474
core,cluener,qwen25_05b_base,hidden_input,6102,span_precision_pct,57.12951432129514
core,cluener,qwen25_05b_base,hidden_input,6102,span_recall_pct,59.733072916666664
core,cluener,qwen25_05b_base,hidden_input,6102,text_micro_f1,59.32527052832591
core,cluener,qwen25_05b_base,hidden_input,6102,content_correct,28.145941921072225
core,cluener,qwen25_05b_base,hidden_input,6102,schema_valid,96.64929262844379
core,cluener,qwen25_05b_base,hidden_input,6102,strict_json,99.77661950856292
core,cluener,qwen25_05b_base,hidden_input,6102,native_eos_pct,99.77661950856292
core,cluener,qwen25_05b_base,hidden_input,6102,capped_pct,0.22338049143708116
core,cluener,qwen25_05b_base,hidden_input,6102,mean_generated_tokens,39.8421444527178
core,cluener,qwen25_05b_base,hidden_output,6100,primary,56.72923958001909
core,cluener,qwen25_05b_base,hidden_output,6100,span_precision_pct,55.47604231487243
core,cluener,qwen25_05b_base,hidden_output,6100,span_recall_pct,58.040364583333336
core,cluener,qwen25_05b_base,hidden_output,6100,text_micro_f1,57.62010817690105
core,cluener,qwen25_05b_base,hidden_output,6100,content_correct,27.103499627699183
core,cluener,qwen25_05b_base,hidden_output,6100,schema_valid,95.45793000744601
core,cluener,qwen25_05b_base,hidden_output,6100,strict_json,98.21295606850335
core,cluener,qwen25_05b_base,hidden_output,6100,native_eos_pct,98.21295606850335
core,cluener,qwen25_05b_base,hidden_output,6100,capped_pct,1.7870439314966493
core,cluener,qwen25_05b_base,hidden_output,6100,mean_generated_tokens,47.93968726731199
core,cluener,qwen25_05b_base,hidden_output,6101,primary,58.07888040712468
core,cluener,qwen25_05b_base,hidden_output,6101,span_precision_pct,56.77860696517413
core,cluener,qwen25_05b_base,hidden_output,6101,span_recall_pct,59.440104166666664
core,cluener,qwen25_05b_base,hidden_output,6101,text_micro_f1,58.87404580152672
core,cluener,qwen25_05b_base,hidden_output,6101,content_correct,27.550260610573343
core,cluener,qwen25_05b_base,hidden_output,6101,schema_valid,95.90469099032018
core,cluener,qwen25_05b_base,hidden_output,6101,strict_json,98.43633655994043
core,cluener,qwen25_05b_base,hidden_output,6101,native_eos_pct,98.51079672375279
core,cluener,qwen25_05b_base,hidden_output,6101,capped_pct,1.4892032762472078
core,cluener,qwen25_05b_base,hidden_output,6101,mean_generated_tokens,46.310498883097544
core,cluener,qwen25_05b_base,hidden_output,6102,primary,57.815232946414376
core,cluener,qwen25_05b_base,hidden_output,6102,span_precision_pct,56.51227852036058
core,cluener,qwen25_05b_base,hidden_output,6102,span_recall_pct,59.1796875
core,cluener,qwen25_05b_base,hidden_output,6102,text_micro_f1,58.642073461599615
core,cluener,qwen25_05b_base,hidden_output,6102,content_correct,27.773641102010423
core,cluener,qwen25_05b_base,hidden_output,6102,schema_valid,96.27699180938198
core,cluener,qwen25_05b_base,hidden_output,6102,strict_json,99.47877885331347
core,cluener,qwen25_05b_base,hidden_output,6102,native_eos_pct,99.47877885331347
core,cluener,qwen25_05b_base,hidden_output,6102,capped_pct,0.5212211466865228
core,cluener,qwen25_05b_base,hidden_output,6102,mean_generated_tokens,41.384959046909906
core,cluener,qwen25_05b_base,hidden_both,6100,primary,57.44784085395439
core,cluener,qwen25_05b_base,hidden_both,6100,span_precision_pct,57.087753134040504
core,cluener,qwen25_05b_base,hidden_both,6100,span_recall_pct,57.8125
core,cluener,qwen25_05b_base,hidden_both,6100,text_micro_f1,58.288856542131654
core,cluener,qwen25_05b_base,hidden_both,6100,content_correct,28.220402084884586
core,cluener,qwen25_05b_base,hidden_both,6100,schema_valid,96.27699180938198
core,cluener,qwen25_05b_base,hidden_both,6100,strict_json,98.73417721518987
core,cluener,qwen25_05b_base,hidden_both,6100,native_eos_pct,98.73417721518987
core,cluener,qwen25_05b_base,hidden_both,6100,capped_pct,1.2658227848101267
core,cluener,qwen25_05b_base,hidden_both,6100,mean_generated_tokens,44.271034996276995
core,cluener,qwen25_05b_base,hidden_both,6101,primary,57.79831129520471
core,cluener,qwen25_05b_base,hidden_both,6101,span_precision_pct,56.5990639625585
core,cluener,qwen25_05b_base,hidden_both,6101,span_recall_pct,59.049479166666664
core,cluener,qwen25_05b_base,hidden_both,6101,text_micro_f1,58.6267325155329
core,cluener,qwen25_05b_base,hidden_both,6101,content_correct,27.47580044676098
core,cluener,qwen25_05b_base,hidden_both,6101,schema_valid,96.4259121370067
core,cluener,qwen25_05b_base,hidden_both,6101,strict_json,99.18093819806404
core,cluener,qwen25_05b_base,hidden_both,6101,native_eos_pct,99.18093819806404
core,cluener,qwen25_05b_base,hidden_both,6101,capped_pct,0.8190618019359642
core,cluener,qwen25_05b_base,hidden_both,6101,mean_generated_tokens,42.80416976917349
core,cluener,qwen25_05b_base,hidden_both,6102,primary,58.336
core,cluener,qwen25_05b_base,hidden_both,6102,span_precision_pct,57.36312146003776
core,cluener,qwen25_05b_base,hidden_both,6102,span_recall_pct,59.342447916666664
core,cluener,qwen25_05b_base,hidden_both,6102,text_micro_f1,59.264
core,cluener,qwen25_05b_base,hidden_both,6102,content_correct,28.36932241250931
core,cluener,qwen25_05b_base,hidden_both,6102,schema_valid,96.64929262844379
core,cluener,qwen25_05b_base,hidden_both,6102,strict_json,99.6276991809382
core,cluener,qwen25_05b_base,hidden_both,6102,native_eos_pct,99.70215934475056
core,cluener,qwen25_05b_base,hidden_both,6102,capped_pct,0.29784065524944153
core,cluener,qwen25_05b_base,hidden_both,6102,mean_generated_tokens,39.808637379002235
core,cluener,qwen25_05b_base,input,6100,primary,28.012449977767897
core,cluener,qwen25_05b_base,input,6100,span_precision_pct,25.714285714285715
core,cluener,qwen25_05b_base,input,6100,span_recall_pct,30.76171875
core,cluener,qwen25_05b_base,input,6100,text_micro_f1,28.39780643248851
core,cluener,qwen25_05b_base,input,6100,content_correct,8.935219657483247
core,cluener,qwen25_05b_base,input,6100,schema_valid,88.68205510052123
core,cluener,qwen25_05b_base,input,6100,strict_json,96.72375279225615
core,cluener,qwen25_05b_base,input,6100,native_eos_pct,96.7982129560685
core,cluener,qwen25_05b_base,input,6100,capped_pct,3.2017870439314966
core,cluener,qwen25_05b_base,input,6100,mean_generated_tokens,60.22635889798958
core,cluener,qwen25_05b_base,input,6101,primary,27.627539833357694
core,cluener,qwen25_05b_base,input,6101,span_precision_pct,25.072963650835767
core,cluener,qwen25_05b_base,input,6101,span_recall_pct,30.76171875
core,cluener,qwen25_05b_base,input,6101,text_micro_f1,28.095307703552113
core,cluener,qwen25_05b_base,input,6101,content_correct,7.66939687267312
core,cluener,qwen25_05b_base,input,6101,schema_valid,89.6500372300819
core,cluener,qwen25_05b_base,input,6101,strict_json,98.51079672375279
core,cluener,qwen25_05b_base,input,6101,native_eos_pct,98.51079672375279
core,cluener,qwen25_05b_base,input,6101,capped_pct,1.4892032762472078
core,cluener,qwen25_05b_base,input,6101,mean_generated_tokens,52.38272524199553
core,cluener,qwen25_05b_base,input,6102,primary,30.120665953872003
core,cluener,qwen25_05b_base,input,6102,span_precision_pct,28.37410071942446
core,cluener,qwen25_05b_base,input,6102,span_recall_pct,32.096354166666664
core,cluener,qwen25_05b_base,input,6102,text_micro_f1,30.6399877806629
core,cluener,qwen25_05b_base,input,6102,content_correct,7.297096053611318
core,cluener,qwen25_05b_base,input,6102,schema_valid,91.66046165301563
core,cluener,qwen25_05b_base,input,6102,strict_json,99.2553983618764
core,cluener,qwen25_05b_base,input,6102,native_eos_pct,99.2553983618764
core,cluener,qwen25_05b_base,input,6102,capped_pct,0.7446016381236039
core,cluener,qwen25_05b_base,input,6102,mean_generated_tokens,45.69247952345495
core,cluener,qwen25_05b_base,output,6100,primary,21.632765255634965
core,cluener,qwen25_05b_base,output,6100,span_precision_pct,18.720266412940056
core,cluener,qwen25_05b_base,output,6100,span_recall_pct,25.618489583333332
core,cluener,qwen25_05b_base,output,6100,text_micro_f1,22.15503023639362
core,cluener,qwen25_05b_base,output,6100,content_correct,4.244229337304542
core,cluener,qwen25_05b_base,output,6100,schema_valid,90.84139985107967
core,cluener,qwen25_05b_base,output,6100,strict_json,94.48994787788533
core,cluener,qwen25_05b_base,output,6100,native_eos_pct,94.48994787788533
core,cluener,qwen25_05b_base,output,6100,capped_pct,5.5100521221146685
core,cluener,qwen25_05b_base,output,6100,mean_generated_tokens,77.37379002233804
core,cluener,qwen25_05b_base,output,6101,primary,21.148118061196858
core,cluener,qwen25_05b_base,output,6101,span_precision_pct,18.103847936949467
core,cluener,qwen25_05b_base,output,6101,span_recall_pct,25.423177083333332
core,cluener,qwen25_05b_base,output,6101,text_micro_f1,21.74383969672353
core,cluener,qwen25_05b_base,output,6101,content_correct,3.8719285182427403
core,cluener,qwen25_05b_base,output,6101,schema_valid,90.69247952345495
core,cluener,qwen25_05b_base,output,6101,strict_json,94.63886820551005
core,cluener,qwen25_05b_base,output,6101,native_eos_pct,94.63886820551005
core,cluener,qwen25_05b_base,output,6101,capped_pct,5.361131794489948
core,cluener,qwen25_05b_base,output,6101,mean_generated_tokens,77.67907669396872
core,cluener,qwen25_05b_base,output,6102,primary,22.730945327228657
core,cluener,qwen25_05b_base,output,6102,span_precision_pct,19.38447404685347
core,cluener,qwen25_05b_base,output,6102,span_recall_pct,27.473958333333332
core,cluener,qwen25_05b_base,output,6102,text_micro_f1,23.48505251817937
core,cluener,qwen25_05b_base,output,6102,content_correct,4.988830975428146
core,cluener,qwen25_05b_base,output,6102,schema_valid,93.44750558451229
core,cluener,qwen25_05b_base,output,6102,strict_json,96.7982129560685
core,cluener,qwen25_05b_base,output,6102,native_eos_pct,96.7982129560685
core,cluener,qwen25_05b_base,output,6102,capped_pct,3.2017870439314966
core,cluener,qwen25_05b_base,output,6102,mean_generated_tokens,66.74534623976173
core,cluener,qwen25_05b_base,both,6100,primary,37.36298152207955
core,cluener,qwen25_05b_base,both,6100,span_precision_pct,35.9987929993965
core,cluener,qwen25_05b_base,both,6100,span_recall_pct,38.834635416666664
core,cluener,qwen25_05b_base,both,6100,text_micro_f1,37.926714688380834
core,cluener,qwen25_05b_base,both,6100,content_correct,14.370811615785554
core,cluener,qwen25_05b_base,both,6100,schema_valid,93.74534623976173
core,cluener,qwen25_05b_base,both,6100,strict_json,98.51079672375279
core,cluener,qwen25_05b_base,both,6100,native_eos_pct,98.65971705137751
core,cluener,qwen25_05b_base,both,6100,capped_pct,1.340282948622487
core,cluener,qwen25_05b_base,both,6100,mean_generated_tokens,46.30752047654505
core,cluener,qwen25_05b_base,both,6101,primary,35.55488540410133
core,cluener,qwen25_05b_base,both,6101,span_precision_pct,33.11797752808989
core,cluener,qwen25_05b_base,both,6101,span_recall_pct,38.37890625
core,cluener,qwen25_05b_base,both,6101,text_micro_f1,36.18817852834741
core,cluener,qwen25_05b_base,both,6101,content_correct,12.062546537602383
core,cluener,qwen25_05b_base,both,6101,schema_valid,90.69247952345495
core,cluener,qwen25_05b_base,both,6101,strict_json,96.57483246463143
core,cluener,qwen25_05b_base,both,6101,native_eos_pct,96.72375279225615
core,cluener,qwen25_05b_base,both,6101,capped_pct,3.276247207743857
core,cluener,qwen25_05b_base,both,6101,mean_generated_tokens,58.84884586746091
core,cluener,qwen25_05b_base,both,6102,primary,37.874740279014546
core,cluener,qwen25_05b_base,both,6102,span_precision_pct,34.8063284233497
core,cluener,qwen25_05b_base,both,6102,span_recall_pct,41.536458333333336
core,cluener,qwen25_05b_base,both,6102,text_micro_f1,38.52775304244583
core,cluener,qwen25_05b_base,both,6102,content_correct,10.052122114668652
core,cluener,qwen25_05b_base,both,6102,schema_valid,93.59642591213701
core,cluener,qwen25_05b_base,both,6102,strict_json,99.55323901712583
core,cluener,qwen25_05b_base,both,6102,native_eos_pct,99.55323901712583
core,cluener,qwen25_05b_base,both,6102,capped_pct,0.4467609828741623
core,cluener,qwen25_05b_base,both,6102,mean_generated_tokens,45.721518987341774
core,cluener,qwen25_15b_base,base,,primary,0.0
core,cluener,qwen25_15b_base,base,,span_precision_pct,0.0
core,cluener,qwen25_15b_base,base,,span_recall_pct,0.0
core,cluener,qwen25_15b_base,base,,text_micro_f1,0.0
core,cluener,qwen25_15b_base,base,,content_correct,0.0
core,cluener,qwen25_15b_base,base,,schema_valid,98.80863737900223
core,cluener,qwen25_15b_base,base,,strict_json,87.63961280714818
core,cluener,qwen25_15b_base,base,,native_eos_pct,97.98957557706628
