task,lr,hidden,hidden_tail8_loss,hidden_budget,hidden_budget_tail8_loss,hidden_both,hidden_both_tail8_loss,delta_H,delta_budget
wikisql,0.0002,83.3984375,0.06170111266692402,83.251953125,0.06199727284183609,83.740234375,0.06020680824303781,0.341796875,0.48828125
wikisql,0.0001,83.203125,0.06891254878610198,83.056640625,0.06846719800705614,83.349609375,0.06537359598360126,0.146484375,0.29296875
wikisql,0.0004,84.765625,0.058091839559438085,83.69140625,0.05748548920655594,82.861328125,0.05874598940249598,-1.904296875,-0.830078125
wikisql,5e-05,80.46875,0.0836091633354954,80.224609375,0.083609118341883,81.494140625,0.07624355087136792,1.025390625,1.26953125
wikisql,0.0003,83.88671875,0.06006153912812806,83.69140625,0.05981615861219325,83.642578125,0.058980574208817416,-0.244140625,-0.048828125
wikisql,0.0008,83.642578125,0.05763607031894935,83.3984375,0.05800585126689839,83.935546875,0.05905465818932498,0.29296875,0.537109375
trec50,0.0002,85.15625,0.15292781480752637,83.7890625,0.1534028097380542,86.1328125,0.1470113836596738,0.9765625,2.34375
trec50,0.0001,82.2265625,0.16761470049527816,81.4453125,0.1681747195684693,81.8359375,0.16936887652946098,-0.390625,0.390625
trec50,0.0004,86.5234375,0.14075645498428457,86.9140625,0.13833452936808044,85.9375,0.15431132325784347,-0.5859375,-0.9765625
trec50,5e-05,78.515625,0.21872535806755877,78.515625,0.21710553870184413,79.1015625,0.21431966467343955,0.5859375,0.5859375
trec50,0.0003,85.9375,0.1493571097560107,84.9609375,0.14228586499314133,86.9140625,0.14758666047703173,0.9765625,1.953125
trec50,0.0008,85.9375,0.165035492782863,86.328125,0.1341670792057812,63.671875,0.5182989223062577,-22.265625,-22.65625
