task,arm,seed,lr,primary,first16_online_loss,tail8_online_loss,max_gradient_norm,clipped_steps,mean_clip_factor,hidden_update_path,hidden_gradient_energy_share,input_gradient_energy_share,output_gradient_energy_share
wikisql,hidden,7700,0.0004,84.9609375,0.18364851641126734,0.061821114133636,3.7320549488067627,2,0.9825097152212126,15.432098152596154,1.0,0.0,0.0
wikisql,hidden,7701,0.0004,84.375,0.17562413177029157,0.05065118050379169,3.761383533477783,2,0.981859251172941,15.630586477622273,1.0,0.0,0.0
wikisql,hidden,7702,0.0004,83.642578125,0.1830848100617004,0.057687563970830524,3.5665695667266846,3,0.972213554121209,15.45403246472415,1.0,0.0,0.0
wikisql,hidden,7703,0.0004,83.642578125,0.1834019723428355,0.05226714803757204,3.5590670108795166,6,0.9573566226080262,15.047428898207727,1.0,0.0,0.0
wikisql,hidden,7704,0.0004,84.5703125,0.18162868027866352,0.05494028873363277,3.78631854057312,3,0.9735013709893396,15.334322944356245,1.0,0.0,0.0
wikisql,hidden_budget,7700,0.0004,85.400390625,0.18365444448681956,0.05903894954280986,3.9014432430267334,2,0.9821216537777014,15.399476771679474,1.0,0.0,0.0
wikisql,hidden_budget,7701,0.0004,84.521484375,0.17600891984329792,0.05169466711777204,3.7769088745117188,2,0.9818400835242945,15.705109011280001,1.0,0.0,0.0
wikisql,hidden_budget,7702,0.0004,84.08203125,0.18256944880340598,0.05797785691675017,3.6409807205200195,3,0.972043697865535,15.555384281469742,1.0,0.0,0.0
wikisql,hidden_budget,7703,0.0004,82.8125,0.18043015005605412,0.05236296143539221,3.6107687950134277,6,0.9621096511810983,15.213592742555193,1.0,0.0,0.0
wikisql,hidden_budget,7704,0.0004,85.15625,0.18073059070684394,0.05402446484276879,3.846457004547119,4,0.9741303990877647,15.325125326926354,1.0,0.0,0.0
wikisql,hidden_both,7700,0.0008,83.49609375,0.2761008803445293,0.060301860882646,265.21697998046875,26,0.7491976314633186,33.15855161997024,0.2559315307708341,0.6217675256286049,0.12230094360056104
wikisql,hidden_both,7701,0.0008,82.861328125,0.349964179804374,0.057816796858332964,558.380859375,32,0.6866008380576154,33.916100347734755,0.23725738353648773,0.6626793905912007,0.10006322587231158
wikisql,hidden_both,7702,0.0008,83.7890625,0.2665755126381555,0.05665154705729947,28.879335403442383,33,0.72611055340032,33.40911467204569,0.22172537168531797,0.6904017387586987,0.08787288955598335
wikisql,hidden_both,7703,0.0008,83.7890625,0.3088234704264323,0.05469522057865106,33.23855209350586,24,0.7999427748739247,32.620691796706524,0.23527232877301688,0.6737021369218419,0.09102553430514121
wikisql,hidden_both,7704,0.0008,83.10546875,0.6145492800569627,0.05429161484789802,501.9056701660156,31,0.6733091868516942,33.39962688475498,0.2529994781310319,0.6539167301754633,0.09308379169350486
trec50,hidden,7700,0.0004,89.0,0.5575715833838331,0.1410701949334907,12.351394653320312,53,0.6480264335447795,17.22356240521185,1.0,0.0,0.0
trec50,hidden,7701,0.0004,88.0,0.5323541695306631,0.13458741242607175,12.470499038696289,59,0.5438806889576311,17.38507532636868,1.0,0.0,0.0
trec50,hidden,7702,0.0004,88.2,0.5346266655146792,0.19584226190772824,12.524096488952637,55,0.5872731148460577,17.332200710225152,1.0,0.0,0.0
trec50,hidden,7703,0.0004,90.6,0.5167061319884851,0.15110955832278705,12.452657699584961,55,0.5738500584662869,17.037655894528143,1.0,0.0,0.0
trec50,hidden,7704,0.0004,90.0,0.5485199866820949,0.15456309177602634,12.024001121520996,56,0.598606937659566,17.110872835997725,1.0,0.0,0.0
trec50,hidden_budget,7700,0.0004,88.8,0.5533116784226877,0.1465960352534239,12.700031280517578,61,0.55830872381646,17.221216927020578,1.0,0.0,0.0
trec50,hidden_budget,7701,0.0004,88.2,0.5323938890746831,0.15306165064907873,12.509852409362793,61,0.508040914315171,17.457099284452852,1.0,0.0,0.0
trec50,hidden_budget,7702,0.0004,89.0,0.529665356241992,0.19574137030440397,12.78002643585205,53,0.6051397345223464,17.372780742764007,1.0,0.0,0.0
trec50,hidden_budget,7703,0.0004,89.6,0.5197965926663528,0.1577394763544362,12.596272468566895,60,0.557101678654378,17.21644350956194,1.0,0.0,0.0
trec50,hidden_budget,7704,0.0004,90.2,0.5488700844157393,0.15546395298815696,12.186654090881348,55,0.606361157451408,17.34503487535403,1.0,0.0,0.0
trec50,hidden_both,7700,0.0003,88.8,0.5874539000351433,0.13969321318199945,35.856014251708984,64,0.303819487343366,13.441956337584998,0.22790152638275435,0.7114418953514856,0.06065657826576009
trec50,hidden_both,7701,0.0003,88.2,0.5355908213273324,0.15372148816913977,37.1087760925293,63,0.3031696137609547,13.345015872924705,0.24865666935232933,0.6936727635167966,0.05767056713087404
trec50,hidden_both,7702,0.0003,87.6,0.5548411412503356,0.19385894645438384,38.322654724121094,64,0.2832419440174832,13.50431741536886,0.23176512337681818,0.7354738209044562,0.03276105571872558
trec50,hidden_both,7703,0.0003,89.8,0.5268959307031764,0.17888313716503035,38.9640998840332,64,0.2949276901971875,13.409971095490619,0.24010832003239585,0.7054941219847076,0.054397557982896486
trec50,hidden_both,7704,0.0003,89.0,0.5456787504770091,0.18470848611559632,37.30976867675781,64,0.24489247499219316,13.563585565105313,0.23275501112148408,0.7332063245565027,0.03403866432201326
