arm,seed,conditional_label_nll,raw_gold_code_nll,mean_confidence,distinct_predicted_labels,largest_class_count
hidden,7700,0.39025664543775473,0.39046243038540707,0.9139562658045411,43,124
hidden,7701,0.4412713456064977,0.4416559932115488,0.9276768112675202,42,122
hidden,7702,0.4821960424775233,0.48243583892052994,0.9296134586123659,44,124
hidden,7703,0.3536435927148853,0.35396985830483024,0.889448398206682,41,121
hidden,7704,0.38364495278910565,0.38416831710614496,0.9200996101891639,43,126
hidden_budget,7700,0.4024388666191893,0.40259175219677856,0.92323754385055,43,123
hidden_budget,7701,0.4531171368167434,0.4535017755178269,0.9304253956266428,44,124
hidden_budget,7702,0.49633379100714203,0.4965142930739094,0.937072602532882,43,122
hidden_budget,7703,0.4071352769768094,0.407674917508848,0.9197103441735154,43,121
hidden_budget,7704,0.37861014562000406,0.378954139766749,0.9177245756369464,43,124
hidden_both,7700,0.45983984401779093,0.46022759180516004,0.9137867313722469,44,124
hidden_both,7701,0.4680595236025008,0.46838111270032823,0.9041112313758978,43,122
hidden_both,7702,0.4725751537926877,0.4729059331138851,0.9267860279153854,43,120
hidden_both,7703,0.4504867029938291,0.4512603052794002,0.8914640382198797,44,122
hidden_both,7704,0.4587096780708448,0.45910509296570673,0.9345880734396413,43,123
