stage,task,arm,seed,lr,primary,lf_correct_pct,query_valid_pct,macro_f1_all50,coarse_accuracy,run
search,wikisql,hidden,7600,0.0002,83.30078125,78.125,99.70703125,,,search_wikisql_hidden_c0_s7600
search,wikisql,hidden_budget,7600,0.0002,82.71484375,77.734375,99.51171875,,,search_wikisql_hidden_budget_c0_s7600
search,wikisql,hidden_both,7600,0.0002,83.984375,78.7109375,99.8046875,,,search_wikisql_hidden_both_c0_s7600
search,trec50,hidden,7600,0.0002,84.375,,,79.77467047915965,94.140625,search_trec50_hidden_c0_s7600
search,trec50,hidden_budget,7600,0.0002,83.59375,,,78.62840949899774,93.359375,search_trec50_hidden_budget_c0_s7600
search,trec50,hidden_both,7600,0.0002,87.109375,,,81.17437562437564,94.140625,search_trec50_hidden_both_c0_s7600
search,wikisql,hidden,7600,0.0001,83.10546875,77.734375,99.90234375,,,search_wikisql_hidden_c1_s7600
search,wikisql,hidden_budget,7600,0.0001,82.91015625,77.34375,99.90234375,,,search_wikisql_hidden_budget_c1_s7600
search,wikisql,hidden_both,7600,0.0001,83.0078125,77.9296875,99.8046875,,,search_wikisql_hidden_both_c1_s7600
search,trec50,hidden,7600,0.0001,81.640625,,,78.20550108646086,93.75,search_trec50_hidden_c1_s7600
search,trec50,hidden_budget,7600,0.0001,80.859375,,,77.30799070210836,93.75,search_trec50_hidden_budget_c1_s7600
search,trec50,hidden_both,7600,0.0001,80.46875,,,76.64881071800578,92.578125,search_trec50_hidden_both_c1_s7600
search,wikisql,hidden,7600,0.0004,84.1796875,78.90625,99.31640625,,,search_wikisql_hidden_c2_s7600
search,wikisql,hidden_budget,7600,0.0004,83.0078125,78.125,99.4140625,,,search_wikisql_hidden_budget_c2_s7600
search,wikisql,hidden_both,7600,0.0004,82.51953125,78.90625,99.70703125,,,search_wikisql_hidden_both_c2_s7600
search,trec50,hidden,7600,0.0004,87.109375,,,82.62911598205716,94.53125,search_trec50_hidden_c2_s7600
search,trec50,hidden_budget,7600,0.0004,87.109375,,,82.08318838024721,95.3125,search_trec50_hidden_budget_c2_s7600
search,trec50,hidden_both,7600,0.0004,87.890625,,,83.20982808041634,96.09375,search_trec50_hidden_both_c2_s7600
search,wikisql,hidden,7600,5e-05,80.2734375,74.90234375,99.8046875,,,search_wikisql_hidden_c3_s7600
search,wikisql,hidden_budget,7600,5e-05,79.98046875,74.70703125,99.8046875,,,search_wikisql_hidden_budget_c3_s7600
search,wikisql,hidden_both,7600,5e-05,81.25,75.68359375,99.8046875,,,search_wikisql_hidden_both_c3_s7600
search,trec50,hidden,7600,5e-05,78.515625,,,75.56340592671864,92.1875,search_trec50_hidden_c3_s7600
search,trec50,hidden_budget,7600,5e-05,78.125,,,75.44579459068625,92.1875,search_trec50_hidden_budget_c3_s7600
search,trec50,hidden_both,7600,5e-05,79.296875,,,76.03392429723701,92.578125,search_trec50_hidden_both_c3_s7600
search,wikisql,hidden,7600,0.0003,83.3984375,79.00390625,99.609375,,,search_wikisql_hidden_c4_s7600
search,wikisql,hidden_budget,7600,0.0003,83.88671875,79.39453125,99.8046875,,,search_wikisql_hidden_budget_c4_s7600
search,wikisql,hidden_both,7600,0.0003,84.1796875,79.39453125,99.90234375,,,search_wikisql_hidden_both_c4_s7600
search,trec50,hidden,7600,0.0003,87.5,,,82.13325073619191,94.140625,search_trec50_hidden_c4_s7600
search,trec50,hidden_budget,7600,0.0003,85.9375,,,81.01112090523857,93.75,search_trec50_hidden_budget_c4_s7600
search,trec50,hidden_both,7600,0.0003,87.890625,,,83.16057243410185,95.3125,search_trec50_hidden_both_c4_s7600
search,wikisql,hidden,7600,0.0008,83.7890625,78.80859375,99.70703125,,,search_wikisql_hidden_c5_s7600
search,wikisql,hidden_budget,7600,0.0008,82.51953125,78.90625,99.70703125,,,search_wikisql_hidden_budget_c5_s7600
search,wikisql,hidden_both,7600,0.0008,83.49609375,79.19921875,99.70703125,,,search_wikisql_hidden_both_c5_s7600
search,trec50,hidden,7600,0.0008,84.375,,,77.75290148448045,93.359375,search_trec50_hidden_c5_s7600
search,trec50,hidden_budget,7600,0.0008,87.5,,,82.43488113193999,95.703125,search_trec50_hidden_budget_c5_s7600
search,trec50,hidden_both,7600,0.0008,42.578125,,,38.631525516463064,62.5,search_trec50_hidden_both_c5_s7600
search,wikisql,hidden,7601,0.0002,83.49609375,79.00390625,99.70703125,,,search_wikisql_hidden_c0_s7601
search,wikisql,hidden_budget,7601,0.0002,83.7890625,79.19921875,99.70703125,,,search_wikisql_hidden_budget_c0_s7601
search,wikisql,hidden_both,7601,0.0002,83.49609375,79.19921875,100.0,,,search_wikisql_hidden_both_c0_s7601
search,trec50,hidden,7601,0.0002,85.9375,,,81.08244244575516,94.53125,search_trec50_hidden_c0_s7601
search,trec50,hidden_budget,7601,0.0002,83.984375,,,79.03425174756447,92.96875,search_trec50_hidden_budget_c0_s7601
search,trec50,hidden_both,7601,0.0002,85.15625,,,81.10239139945024,92.96875,search_trec50_hidden_both_c0_s7601
search,wikisql,hidden,7601,0.0001,83.30078125,77.83203125,99.90234375,,,search_wikisql_hidden_c1_s7601
search,wikisql,hidden_budget,7601,0.0001,83.203125,77.734375,99.90234375,,,search_wikisql_hidden_budget_c1_s7601
search,wikisql,hidden_both,7601,0.0001,83.69140625,78.90625,99.90234375,,,search_wikisql_hidden_both_c1_s7601
search,trec50,hidden,7601,0.0001,82.8125,,,79.15897533838712,93.75,search_trec50_hidden_c1_s7601
search,trec50,hidden_budget,7601,0.0001,82.03125,,,78.63365131600428,92.578125,search_trec50_hidden_budget_c1_s7601
search,trec50,hidden_both,7601,0.0001,83.203125,,,79.49591486944429,93.359375,search_trec50_hidden_both_c1_s7601
search,wikisql,hidden,7601,0.0004,85.3515625,80.76171875,100.0,,,search_wikisql_hidden_c2_s7601
search,wikisql,hidden_budget,7601,0.0004,84.375,80.859375,100.0,,,search_wikisql_hidden_budget_c2_s7601
search,wikisql,hidden_both,7601,0.0004,83.203125,80.2734375,100.0,,,search_wikisql_hidden_both_c2_s7601
search,trec50,hidden,7601,0.0004,85.9375,,,80.72559662559664,93.75,search_trec50_hidden_c2_s7601
search,trec50,hidden_budget,7601,0.0004,86.71875,,,82.07061921566569,94.53125,search_trec50_hidden_budget_c2_s7601
search,trec50,hidden_both,7601,0.0004,83.984375,,,78.85512265512267,92.96875,search_trec50_hidden_both_c2_s7601
search,wikisql,hidden,7601,5e-05,80.6640625,75.48828125,99.8046875,,,search_wikisql_hidden_c3_s7601
search,wikisql,hidden_budget,7601,5e-05,80.46875,75.390625,99.90234375,,,search_wikisql_hidden_budget_c3_s7601
search,wikisql,hidden_both,7601,5e-05,81.73828125,76.3671875,99.90234375,,,search_wikisql_hidden_both_c3_s7601
search,trec50,hidden,7601,5e-05,78.515625,,,75.5075490385088,91.796875,search_trec50_hidden_c3_s7601
search,trec50,hidden_budget,7601,5e-05,78.90625,,,75.89216442312419,91.796875,search_trec50_hidden_budget_c3_s7601
search,trec50,hidden_both,7601,5e-05,78.90625,,,75.76564458932882,92.1875,search_trec50_hidden_both_c3_s7601
search,wikisql,hidden,7601,0.0003,84.375,79.8828125,99.70703125,,,search_wikisql_hidden_c4_s7601
search,wikisql,hidden_budget,7601,0.0003,83.49609375,78.90625,99.8046875,,,search_wikisql_hidden_budget_c4_s7601
search,wikisql,hidden_both,7601,0.0003,83.10546875,79.78515625,100.0,,,search_wikisql_hidden_both_c4_s7601
search,trec50,hidden,7601,0.0003,84.375,,,78.95005919433166,93.359375,search_trec50_hidden_c4_s7601
search,trec50,hidden_budget,7601,0.0003,83.984375,,,79.75013907660967,93.359375,search_trec50_hidden_budget_c4_s7601
search,trec50,hidden_both,7601,0.0003,85.9375,,,81.68997249740285,94.53125,search_trec50_hidden_both_c4_s7601
search,wikisql,hidden,7601,0.0008,83.49609375,79.6875,99.90234375,,,search_wikisql_hidden_c5_s7601
search,wikisql,hidden_budget,7601,0.0008,84.27734375,80.2734375,100.0,,,search_wikisql_hidden_budget_c5_s7601
search,wikisql,hidden_both,7601,0.0008,84.375,79.296875,99.21875,,,search_wikisql_hidden_both_c5_s7601
search,trec50,hidden,7601,0.0008,87.5,,,83.09492073114365,94.921875,search_trec50_hidden_c5_s7601
search,trec50,hidden_budget,7601,0.0008,85.15625,,,80.75629272688099,93.75,search_trec50_hidden_budget_c5_s7601
search,trec50,hidden_both,7601,0.0008,84.765625,,,79.91559192441547,94.921875,search_trec50_hidden_both_c5_s7601
confirmation,wikisql,hidden,7700,0.0004,84.9609375,79.833984375,100.0,,,confirmation_wikisql_hidden_c2_s7700
confirmation,wikisql,hidden,7701,0.0004,84.375,81.005859375,99.90234375,,,confirmation_wikisql_hidden_c2_s7701
confirmation,wikisql,hidden,7702,0.0004,83.642578125,80.029296875,99.8046875,,,confirmation_wikisql_hidden_c2_s7702
confirmation,wikisql,hidden,7703,0.0004,83.642578125,80.37109375,99.853515625,,,confirmation_wikisql_hidden_c2_s7703
confirmation,wikisql,hidden,7704,0.0004,84.5703125,80.46875,99.853515625,,,confirmation_wikisql_hidden_c2_s7704
confirmation,wikisql,hidden_budget,7700,0.0004,85.400390625,80.2734375,100.0,,,confirmation_wikisql_hidden_budget_c2_s7700
confirmation,wikisql,hidden_budget,7701,0.0004,84.521484375,81.34765625,100.0,,,confirmation_wikisql_hidden_budget_c2_s7701
confirmation,wikisql,hidden_budget,7702,0.0004,84.08203125,79.833984375,99.853515625,,,confirmation_wikisql_hidden_budget_c2_s7702
confirmation,wikisql,hidden_budget,7703,0.0004,82.8125,79.6875,99.8046875,,,confirmation_wikisql_hidden_budget_c2_s7703
confirmation,wikisql,hidden_budget,7704,0.0004,85.15625,81.005859375,100.0,,,confirmation_wikisql_hidden_budget_c2_s7704
confirmation,wikisql,hidden_both,7700,0.0008,83.49609375,79.638671875,99.90234375,,,confirmation_wikisql_hidden_both_c5_s7700
confirmation,wikisql,hidden_both,7701,0.0008,82.861328125,79.39453125,99.90234375,,,confirmation_wikisql_hidden_both_c5_s7701
confirmation,wikisql,hidden_both,7702,0.0008,83.7890625,79.736328125,99.90234375,,,confirmation_wikisql_hidden_both_c5_s7702
confirmation,wikisql,hidden_both,7703,0.0008,83.7890625,79.931640625,99.4140625,,,confirmation_wikisql_hidden_both_c5_s7703
confirmation,wikisql,hidden_both,7704,0.0008,83.10546875,78.61328125,99.70703125,,,confirmation_wikisql_hidden_both_c5_s7704
confirmation,trec50,hidden,7700,0.0004,89.0,,,68.87188772799286,96.2,confirmation_trec50_hidden_c2_s7700
confirmation,trec50,hidden,7701,0.0004,88.0,,,64.72700675406642,95.4,confirmation_trec50_hidden_c2_s7701
confirmation,trec50,hidden,7702,0.0004,88.2,,,68.20230297554173,95.6,confirmation_trec50_hidden_c2_s7702
confirmation,trec50,hidden,7703,0.0004,90.6,,,70.86953336122161,96.0,confirmation_trec50_hidden_c2_s7703
confirmation,trec50,hidden,7704,0.0004,90.0,,,71.00283789963446,96.4,confirmation_trec50_hidden_c2_s7704
confirmation,trec50,hidden_budget,7700,0.0004,88.8,,,69.4343698988898,95.6,confirmation_trec50_hidden_budget_c2_s7700
confirmation,trec50,hidden_budget,7701,0.0004,88.2,,,67.04376835302338,95.8,confirmation_trec50_hidden_budget_c2_s7701
confirmation,trec50,hidden_budget,7702,0.0004,89.0,,,69.32972993247942,96.0,confirmation_trec50_hidden_budget_c2_s7702
confirmation,trec50,hidden_budget,7703,0.0004,89.6,,,70.70889026671561,96.0,confirmation_trec50_hidden_budget_c2_s7703
confirmation,trec50,hidden_budget,7704,0.0004,90.2,,,69.9973008907153,96.6,confirmation_trec50_hidden_budget_c2_s7704
confirmation,trec50,hidden_both,7700,0.0003,88.8,,,69.13472792562514,95.6,confirmation_trec50_hidden_both_c4_s7700
confirmation,trec50,hidden_both,7701,0.0003,88.2,,,67.98522128300046,96.0,confirmation_trec50_hidden_both_c4_s7701
confirmation,trec50,hidden_both,7702,0.0003,87.6,,,67.38212967028,94.8,confirmation_trec50_hidden_both_c4_s7702
confirmation,trec50,hidden_both,7703,0.0003,89.8,,,71.86398852336455,96.0,confirmation_trec50_hidden_both_c4_s7703
confirmation,trec50,hidden_both,7704,0.0003,89.0,,,68.24593578175231,95.6,confirmation_trec50_hidden_both_c4_s7704
base,wikisql,base,7598,0.0,43.310546875,36.572265625,92.28515625,,,base_wikisql_base_base_s7598
base,trec50,base,7598,0.0,62.6,,,41.826488219269095,86.6,base_trec50_base_base_s7598
