model,task,arm,rank,seed,primary
qwen25_15b_base,cluener,hidden_shared,8,6100,61.31805157593123
qwen25_15b_base,cluener,hidden_shared,8,6101,62.10392902408112
qwen25_15b_base,cluener,hidden_shared,8,6102,61.184735749640744
qwen25_15b_base,wikisql,hidden_shared,8,7100,72.94921875
qwen25_15b_base,wikisql,hidden_shared,8,7101,72.36328125
qwen25_15b_base,wikisql,hidden_shared,8,7102,71.2890625
qwen3_06b_base,cluener,hidden_shared,8,6100,61.059288537549406
qwen3_06b_base,cluener,hidden_shared,8,6101,62.764947801328695
qwen3_06b_base,cluener,hidden_shared,8,6102,62.35294117647059
qwen3_06b_base,wikisql,hidden_shared,8,7100,72.8515625
qwen3_06b_base,wikisql,hidden_shared,8,7101,71.2890625
qwen3_06b_base,wikisql,hidden_shared,8,7102,71.97265625
qwen25_7b_base,cluener,hidden_input,8,6100,69.20624800765061
qwen25_7b_base,cluener,hidden_input,8,6101,69.47604550552796
qwen25_7b_base,cluener,hidden_input,8,6102,69.88261778420969
qwen25_7b_base,cluener,hidden_output,8,6100,70.13153673403914
qwen25_7b_base,cluener,hidden_output,8,6101,69.87567739878865
qwen25_7b_base,cluener,hidden_output,8,6102,70.20696293919461
qwen25_7b_base,cluener,hidden_both,8,6100,70.62590043220746
qwen25_7b_base,cluener,hidden_both,8,6101,69.76446082358596
qwen25_7b_base,cluener,hidden_both,8,6102,70.21923507761242
qwen25_7b_base,wikisql,hidden_input,8,7100,82.03125
qwen25_7b_base,wikisql,hidden_input,8,7101,82.71484375
qwen25_7b_base,wikisql,hidden_input,8,7102,81.73828125
qwen25_7b_base,wikisql,hidden_output,8,7100,82.03125
qwen25_7b_base,wikisql,hidden_output,8,7101,81.93359375
qwen25_7b_base,wikisql,hidden_output,8,7102,81.4453125
qwen25_7b_base,wikisql,hidden_both,8,7100,82.03125
qwen25_7b_base,wikisql,hidden_both,8,7101,82.51953125
qwen25_7b_base,wikisql,hidden_both,8,7102,81.8359375
qwen3_8b_base,cluener,hidden_input,8,6100,71.35694646611677
qwen3_8b_base,cluener,hidden_input,8,6101,70.06287280348218
qwen3_8b_base,cluener,hidden_input,8,6102,70.43801519314692
qwen3_8b_base,cluener,hidden_output,8,6100,71.67015622483491
qwen3_8b_base,cluener,hidden_output,8,6101,71.15198451113262
qwen3_8b_base,cluener,hidden_output,8,6102,71.20283779425992
qwen3_8b_base,cluener,hidden_both,8,6100,72.26863753213368
qwen3_8b_base,cluener,hidden_both,8,6101,71.44464084846537
qwen3_8b_base,cluener,hidden_both,8,6102,71.04247104247104
qwen3_8b_base,wikisql,hidden_input,8,7100,82.2265625
qwen3_8b_base,wikisql,hidden_input,8,7101,83.203125
qwen3_8b_base,wikisql,hidden_input,8,7102,83.69140625
qwen3_8b_base,wikisql,hidden_output,8,7100,81.8359375
qwen3_8b_base,wikisql,hidden_output,8,7101,83.59375
qwen3_8b_base,wikisql,hidden_output,8,7102,84.66796875
qwen3_8b_base,wikisql,hidden_both,8,7100,82.91015625
qwen3_8b_base,wikisql,hidden_both,8,7101,83.69140625
qwen3_8b_base,wikisql,hidden_both,8,7102,84.375
