task,model,control,seed,effect_pp,better_questions,worse_questions
cmrc,qwen25_15b_chat,none,42,1.9364750729834284,251,129
cmrc,qwen25_15b_chat,none,43,0.865252619623799,213,136
cmrc,qwen25_15b_chat,none,44,-0.1819144536723584,176,157
cmrc,qwen25_15b_chat,hidden_budget,42,1.557484398600002,226,126
cmrc,qwen25_15b_chat,hidden_budget,43,0.9291025848628736,208,142
cmrc,qwen25_15b_chat,hidden_budget,44,-0.20063079126157285,171,163
cmrc,qwen3_06b_chat,none,42,1.6386415396718872,269,134
cmrc,qwen3_06b_chat,none,43,-0.5219649946697166,145,159
cmrc,qwen3_06b_chat,none,44,0.006685721499059297,157,160
cmrc,qwen3_06b_chat,hidden_budget,42,1.446471394049884,260,144
cmrc,qwen3_06b_chat,hidden_budget,43,-1.161911827246934,137,210
cmrc,qwen3_06b_chat,hidden_budget,44,-0.08394496495187115,150,166
c3,qwen25_15b_chat,none,42,-0.15416238437821173,36,42
c3,qwen25_15b_chat,none,43,-0.3597122302158273,28,42
c3,qwen25_15b_chat,none,44,0.2569373072970195,54,44
c3,qwen25_15b_chat,hidden_budget,42,-0.17985611510791366,38,45
c3,qwen25_15b_chat,hidden_budget,43,-0.025693730729701953,36,37
c3,qwen25_15b_chat,hidden_budget,44,0.07708119218910586,50,47
c3,qwen3_06b_chat,none,42,0.3597122302158273,63,49
c3,qwen3_06b_chat,none,43,0.07708119218910586,53,50
c3,qwen3_06b_chat,none,44,0.4624871531346352,48,30
c3,qwen3_06b_chat,hidden_budget,42,0.3340184994861254,56,43
c3,qwen3_06b_chat,hidden_budget,43,0.30832476875642345,54,42
c3,qwen3_06b_chat,hidden_budget,44,0.30832476875642345,42,30
