model,control,seed,effect_pp,better_questions,worse_questions
qwen3_06b_chat,none,42,0.45536413828099737,88,65
qwen3_06b_chat,none,43,0.20970704775281704,101,78
qwen3_06b_chat,none,44,0.7372914391962347,119,71
qwen3_06b_chat,hidden_budget,42,0.38173049977110585,85,66
qwen3_06b_chat,hidden_budget,43,-0.22603839716660926,79,95
qwen3_06b_chat,hidden_budget,44,0.4172696011122395,109,79
qwen25_15b_chat,none,42,-0.07342086406330114,100,98
qwen25_15b_chat,none,43,-0.18470883034546384,80,92
qwen25_15b_chat,none,44,0.010326183530025424,91,91
qwen25_15b_chat,hidden_budget,42,-0.06618356677499096,102,111
qwen25_15b_chat,hidden_budget,43,0.018322796474843212,98,95
qwen25_15b_chat,hidden_budget,44,0.05351950518316217,89,85
