model,contrast,seed,accuracy_difference_pp
qwen3_06b_chat,both-minus-none,2002,0.40080160320641767
qwen3_06b_chat,both-minus-none,2003,0.10020040080161152
qwen3_06b_chat,both-minus-none,2004,-0.20040080160320883
qwen3_06b_chat,both-minus-none,2005,0.20040080160320883
qwen3_06b_chat,both-minus-none,2006,-0.20040080160320883
qwen3_06b_chat,both-minus-hidden_budget,2002,0.7014028056112096
qwen3_06b_chat,both-minus-hidden_budget,2003,-0.40080160320640346
qwen3_06b_chat,both-minus-hidden_budget,2004,-0.30060120240480614
qwen3_06b_chat,both-minus-hidden_budget,2005,-0.10020040080161152
qwen3_06b_chat,both-minus-hidden_budget,2006,-0.10020040080161152
qwen3_06b_chat,both-minus-interior,2002,0.30060120240480614
qwen3_06b_chat,both-minus-interior,2003,-0.40080160320640346
qwen3_06b_chat,both-minus-interior,2004,-0.7014028056112238
qwen3_06b_chat,both-minus-interior,2005,0.10020040080159731
qwen3_06b_chat,both-minus-interior,2006,0.40080160320641767
qwen25_15b_chat,both-minus-none,2002,0.501002004008015
qwen25_15b_chat,both-minus-none,2003,0.30060120240480614
qwen25_15b_chat,both-minus-none,2004,0.10020040080159731
qwen25_15b_chat,both-minus-none,2005,-0.9018036072144184
qwen25_15b_chat,both-minus-none,2006,0.9018036072144326
qwen25_15b_chat,both-minus-hidden_budget,2002,0.20040080160320883
qwen25_15b_chat,both-minus-hidden_budget,2003,0.0
qwen25_15b_chat,both-minus-hidden_budget,2004,0.30060120240480614
qwen25_15b_chat,both-minus-hidden_budget,2005,-0.8016032064128211
qwen25_15b_chat,both-minus-hidden_budget,2006,0.7014028056112238
qwen25_15b_chat,both-minus-interior,2002,0.0
qwen25_15b_chat,both-minus-interior,2003,0.40080160320640346
qwen25_15b_chat,both-minus-interior,2004,0.0
qwen25_15b_chat,both-minus-interior,2005,-1.1022044088176273
qwen25_15b_chat,both-minus-interior,2006,0.9018036072144326
